mpg,cylinders,horsepower,weight,car_age,origin_japan,origin_usa
18.0,8,130.0,3504,55,False,True
15.0,8,165.0,3693,55,False,True
18.0,8,150.0,3436,55,False,True
16.0,8,150.0,3433,55,False,True
17.0,8,140.0,3449,55,False,True
15.0,8,198.0,4341,55,False,True
14.0,8,220.0,4354,55,False,True
14.0,8,215.0,4312,55,False,True
14.0,8,225.0,4425,55,False,True
15.0,8,190.0,3850,55,False,True
15.0,8,170.0,3563,55,False,True
14.0,8,160.0,3609,55,False,True
15.0,8,150.0,3761,55,False,True
14.0,8,225.0,3086,55,False,True
24.0,4,95.0,2372,55,True,False
22.0,6,95.0,2833,55,False,True
18.0,6,97.0,2774,55,False,True
21.0,6,85.0,2587,55,False,True
27.0,4,88.0,2130,55,True,False
26.0,4,46.0,1835,55,False,False
25.0,4,87.0,2672,55,False,False
24.0,4,90.0,2430,55,False,False
25.0,4,95.0,2375,55,False,False
26.0,4,113.0,2234,55,False,False
21.0,6,90.0,2648,55,False,True
10.0,8,215.0,4615,55,False,True
10.0,8,200.0,4376,55,False,True
11.0,8,210.0,4382,55,False,True
9.0,8,193.0,4732,55,False,True
27.0,4,88.0,2130,54,True,False
28.0,4,90.0,2264,54,False,True
25.0,4,95.0,2228,54,True,False
19.0,6,100.0,2634,54,False,True
16.0,6,105.0,3439,54,False,True
17.0,6,100.0,3329,54,False,True
19.0,6,88.0,3302,54,False,True
18.0,6,100.0,3288,54,False,True
14.0,8,165.0,4209,54,False,True
14.0,8,175.0,4464,54,False,True
14.0,8,153.0,4154,54,False,True
14.0,8,150.0,4096,54,False,True
12.0,8,180.0,4955,54,False,True
13.0,8,170.0,4746,54,False,True
13.0,8,175.0,5140,54,False,True
18.0,6,110.0,2962,54,False,True
22.0,4,72.0,2408,54,False,True
19.0,6,100.0,3282,54,False,True
18.0,6,88.0,3139,54,False,True
23.0,4,86.0,2220,54,False,True
28.0,4,90.0,2123,54,False,False
30.0,4,70.0,2074,54,False,False
30.0,4,76.0,2065,54,False,False
31.0,4,65.0,1773,54,True,False
35.0,4,69.0,1613,54,True,False
27.0,4,60.0,1834,54,False,False
26.0,4,70.0,1955,54,False,True
24.0,4,95.0,2278,53,True,False
25.0,4,80.0,2126,53,False,True
23.0,4,54.0,2254,53,False,False
20.0,4,90.0,2408,53,False,True
21.0,4,86.0,2226,53,False,True
13.0,8,165.0,4274,53,False,True
14.0,8,175.0,4385,53,False,True
15.0,8,150.0,4135,53,False,True
14.0,8,153.0,4129,53,False,True
17.0,8,150.0,3672,53,False,True
11.0,8,208.0,4633,53,False,True
13.0,8,155.0,4502,53,False,True
